id,lat,lng,status,status_label,location,region,city
1,28.082742,73.096255,2,Unsafe,Bikaner Zone #1,Bikaner Zone,Bikaner
2,27.918763,73.185445,2,Unsafe,Bikaner Zone #2,Bikaner Zone,Bikaner
3,28.126412,73.389515,2,Unsafe,Bikaner Zone #3,Bikaner Zone,Bikaner
4,28.196481,73.124122,2,Unsafe,Bikaner Zone #4,Bikaner Zone,Bikaner
5,27.914865,73.338409,2,Unsafe,Rajasthan Border #5,Rajasthan Border,Rajasthan
6,27.823387,73.55241,2,Unsafe,Rajasthan Border #6,Rajasthan Border,Rajasthan
7,27.736941,73.414477,2,Unsafe,Rajasthan Border #7,Rajasthan Border,Rajasthan
8,29.467448,71.700224,2,Unsafe,Bahawalpur Zone #8,Bahawalpur Zone,Bahawalpur
9,29.274198,71.72017,2,Unsafe,Bahawalpur Zone #9,Bahawalpur Zone,Bahawalpur
10,29.539244,71.457924,2,Unsafe,Bahawalpur Zone #10,Bahawalpur Zone,Bahawalpur
11,30.287619,71.609163,2,Unsafe,Multan Zone #11,Multan Zone,Multan
12,30.078113,71.364966,2,Unsafe,Multan Zone #12,Multan Zone,Multan
13,25.605746,68.276468,2,Unsafe,Hyderabad Zone #13,Hyderabad Zone,Hyderabad
14,25.216736,68.168522,2,Unsafe,Hyderabad Zone #14,Hyderabad Zone,Hyderabad
15,25.556372,68.396677,2,Unsafe,Hyderabad Zone #15,Hyderabad Zone,Hyderabad
16,25.038208,67.203379,2,Unsafe,Karachi Zone #16,Karachi Zone,Karachi
17,24.916303,67.312902,2,Unsafe,Karachi Zone #17,Karachi Zone,Karachi
18,26.19534,68.323418,2,Unsafe,Sindh Interior #18,Sindh Interior,Sindh
19,26.398232,68.353334,2,Unsafe,Sindh Interior #19,Sindh Interior,Sindh
20,31.612768,74.334808,2,Unsafe,Lahore Zone #20,Lahore Zone,Lahore
21,28.642057,76.945621,2,Unsafe,Delhi / NCR #21,Delhi / NCR,Delhi
22,27.897554,73.215225,2,Unsafe,Bikaner Zone #22,Bikaner Zone,Bikaner
23,27.830906,73.189756,1,Safe,Bikaner Zone #23,Bikaner Zone,Bikaner
24,27.840451,73.210088,1,Safe,Bikaner Zone #24,Bikaner Zone,Bikaner
25,28.081058,73.249174,2,Unsafe,Bikaner Zone #25,Bikaner Zone,Bikaner
26,27.891581,73.419278,1,Safe,Rajasthan Border #26,Rajasthan Border,Rajasthan
27,27.84514,73.746495,1,Safe,Rajasthan Border #27,Rajasthan Border,Rajasthan
28,28.016616,73.599109,1,Safe,Rajasthan Border #28,Rajasthan Border,Rajasthan
29,29.252012,71.783107,1,Safe,Bahawalpur Zone #29,Bahawalpur Zone,Bahawalpur
30,29.248531,71.625755,1,Safe,Bahawalpur Zone #30,Bahawalpur Zone,Bahawalpur
31,29.620286,71.743,1,Safe,Bahawalpur Zone #31,Bahawalpur Zone,Bahawalpur
32,30.175627,71.603076,1,Safe,Multan Zone #32,Multan Zone,Multan
33,30.304283,71.6442,1,Safe,Multan Zone #33,Multan Zone,Multan
34,25.278072,68.139445,1,Safe,Hyderabad Zone #34,Hyderabad Zone,Hyderabad
35,25.316954,68.245483,1,Safe,Hyderabad Zone #35,Hyderabad Zone,Hyderabad
36,25.269942,68.549309,1,Safe,Hyderabad Zone #36,Hyderabad Zone,Hyderabad
37,25.069365,67.016605,1,Safe,Karachi Zone #37,Karachi Zone,Karachi
38,24.969947,67.053034,1,Safe,Karachi Zone #38,Karachi Zone,Karachi
39,26.436546,68.281483,1,Safe,Sindh Interior #39,Sindh Interior,Sindh
40,26.144196,68.185982,1,Safe,Sindh Interior #40,Sindh Interior,Sindh
41,31.477616,74.193234,1,Safe,Lahore Zone #41,Lahore Zone,Lahore
42,28.588064,77.32902,1,Safe,Delhi / NCR #42,Delhi / NCR,Delhi
43,27.97473,73.183694,1,Safe,Bikaner Zone #43,Bikaner Zone,Bikaner
44,28.243892,73.314287,1,Safe,Bikaner Zone #44,Bikaner Zone,Bikaner
45,27.835909,73.106202,1,Safe,Bikaner Zone #45,Bikaner Zone,Bikaner
46,27.844342,73.367351,2,Unsafe,Bikaner Zone #46,Bikaner Zone,Bikaner
47,28.081436,73.514972,1,Safe,Rajasthan Border #47,Rajasthan Border,Rajasthan
48,27.753587,73.496729,1,Safe,Rajasthan Border #48,Rajasthan Border,Rajasthan
49,28.173255,73.563101,1,Safe,Rajasthan Border #49,Rajasthan Border,Rajasthan
50,29.611985,71.842351,1,Safe,Bahawalpur Zone #50,Bahawalpur Zone,Bahawalpur
51,29.180166,71.779325,1,Safe,Bahawalpur Zone #51,Bahawalpur Zone,Bahawalpur
52,29.48177,71.696637,1,Safe,Bahawalpur Zone #52,Bahawalpur Zone,Bahawalpur
53,30.045071,71.583433,1,Safe,Multan Zone #53,Multan Zone,Multan
54,29.975198,71.490644,1,Safe,Multan Zone #54,Multan Zone,Multan
55,25.379176,68.554217,1,Safe,Hyderabad Zone #55,Hyderabad Zone,Hyderabad
56,25.569134,68.243525,1,Safe,Hyderabad Zone #56,Hyderabad Zone,Hyderabad
57,25.400264,68.205393,1,Safe,Hyderabad Zone #57,Hyderabad Zone,Hyderabad
58,25.085683,67.266733,1,Safe,Karachi Zone #58,Karachi Zone,Karachi
59,24.8093,67.162527,1,Safe,Karachi Zone #59,Karachi Zone,Karachi
60,26.299037,68.143778,1,Safe,Sindh Interior #60,Sindh Interior,Sindh
61,26.36813,68.317721,1,Safe,Sindh Interior #61,Sindh Interior,Sindh
62,31.575382,74.313659,2,Unsafe,Lahore Zone #62,Lahore Zone,Lahore
63,28.325257,77.07087,1,Safe,Delhi / NCR #63,Delhi / NCR,Delhi
64,27.803765,73.503094,1,Safe,Bikaner Zone #64,Bikaner Zone,Bikaner
65,28.190425,73.459249,1,Safe,Bikaner Zone #65,Bikaner Zone,Bikaner
66,27.933381,73.111066,1,Safe,Bikaner Zone #66,Bikaner Zone,Bikaner
67,28.190104,73.511127,1,Safe,Bikaner Zone #67,Bikaner Zone,Bikaner
68,27.763544,73.543696,1,Safe,Rajasthan Border #68,Rajasthan Border,Rajasthan
69,27.756146,73.667271,1,Safe,Rajasthan Border #69,Rajasthan Border,Rajasthan
70,28.069625,73.382776,1,Safe,Rajasthan Border #70,Rajasthan Border,Rajasthan
71,29.388877,71.702412,1,Safe,Bahawalpur Zone #71,Bahawalpur Zone,Bahawalpur
72,29.294275,71.847595,1,Safe,Bahawalpur Zone #72,Bahawalpur Zone,Bahawalpur
73,29.365412,71.550309,2,Unsafe,Bahawalpur Zone #73,Bahawalpur Zone,Bahawalpur
74,30.167683,71.623469,1,Safe,Multan Zone #74,Multan Zone,Multan
75,30.015518,71.435272,1,Safe,Multan Zone #75,Multan Zone,Multan
76,25.622817,68.417445,1,Safe,Hyderabad Zone #76,Hyderabad Zone,Hyderabad
77,25.372145,68.357909,1,Safe,Hyderabad Zone #77,Hyderabad Zone,Hyderabad
78,25.229452,68.226114,1,Safe,Hyderabad Zone #78,Hyderabad Zone,Hyderabad
79,24.827139,67.139739,1,Safe,Karachi Zone #79,Karachi Zone,Karachi
80,24.778552,66.974098,1,Safe,Karachi Zone #80,Karachi Zone,Karachi
81,26.056947,68.358996,2,Unsafe,Sindh Interior #81,Sindh Interior,Sindh
