city,total,safe,unsafe
Lahore,165,95,70
Rawalpindi,145,40,105
Sialkot,95,35,60
Faisalabad,90,38,52
Kasur,55,25,30
Gujrat,48,22,26
Gujranwala,52,28,24
Bahawalpur,75,35,40
Sheikhupura,42,18,24
Multan,68,25,43
Lodhran,22,8,14
Shekupura,25,10,15
Dera Ghazi Khan,28,12,16
Sargodha,85,18,67
Jhelum,28,12,16
Mandi Bahauddin,22,8,14
Jhang,25,10,15
Mianwali,22,8,14
Rajanpur,20,7,13
Sahiwal,18,6,12
Vehari,18,6,12
Muzaffargarh,20,7,13
Joharabad,18,6,12
Attock,15,5,10
Chakwal,15,5,10
Khushab,12,4,8
