indicator,total,safe,safePct,unsafe,unsafePct,min,max
Electrical Conductivity,442,160,36,282,64,0,33500
pH,442,160,36,282,64,0,9
Turbidity,442,160,36,282,64,0,960
Chloride,442,160,36,282,64,0,10105
Calcium,442,160,36,282,64,0,1200
Magnesium,442,160,36,282,64,0,972
Total Hardness as CaCO3,442,160,36,282,64,0,7000
Sodium,442,160,36,282,64,0,4405
Potassium,442,160,36,282,64,0,170
Sulfate,442,160,36,282,64,0,2013
Nitrate-N,442,160,36,282,64,0,29
Total Dissolved Solids,442,160,36,282,64,0,21400
Iron,442,160,36,282,64,0,13
Fluoride,442,160,36,282,64,0,6
Arsenic,442,160,36,282,64,0,104
Total Coliforms,442,160,36,282,64,0,118
E-Coli,442,160,36,282,64,0,50
Alkalinity as CaCO3,442,160,36,282,64,0,2407
Bicarbonate,2,0,0,2,100,0,0
Carbonate,2,0,0,2,100,0,0
PHOSPHATE,2,0,0,2,100,0,0
Nitrogen Oxides,2,0,0,2,100,0,0
Faecal Coliforms,2,0,0,2,100,0,0
Chemical Oxygen Demand,2,0,0,2,100,0,0
Biochemical Oxygen Demand,2,0,0,2,100,0,0
Dissolved Oxygen,2,0,0,2,100,0,0
Copper,2,0,0,2,100,0,2
Zinc,2,0,0,2,100,0,0
Manganese,2,0,0,2,100,0,0
Chromium,2,0,0,2,100,0,0
Lead,2,0,0,2,100,0,0
Nickel,2,0,0,2,100,0,0
Boron,2,0,0,2,100,0,0
Cadmium,2,0,0,2,100,0,0
Phosphorus,2,0,0,2,100,0,0
Mercury,2,0,0,2,100,0,0
