code,location,type,province,city,status,lat,lng,year,sourceGroup
SB-01-GW,GBPS Village Azim Shah,Hand Pump,Sindh,Shaheed Benazir,Unsafe,26.25,68.35,2021,Ground Water
SB-02-GW,Jamiya Masjid at Village Haji Ghulam Shah,Tap,Sindh,Shaheed Benazir,Unsafe,26.28,68.4,2021,Ground Water
SB-03-GW,Hospital road near solarized RO Plant Buchen,Hand Pump,Sindh,Shaheed Benazir,Unsafe,26.3,68.42,2021,Ground Water
SB-04-GW,Village Chakar Khan Shahani,Hand Pump,Sindh,Shaheed Benazir,Unsafe,26.27,68.38,2021,Ground Water
SB-05-GW,"Ibrahim chandio Shop stop, Village Jafar Chutto",Hand Pump,Sindh,Shaheed Benazir,Unsafe,26.26,68.36,2021,Ground Water
TA-05-GW,Taspur Village Government Dispensary,Well,Sindh,Tando Allah Yaar,Safe,25.46,68.72,2021,Ground Water
TA-08-GW,Civil Hospital Tando Allahyar,Hand Pump,Sindh,Tando Allah Yaar,Safe,25.46,68.72,2021,Ground Water
TA-11-GW,"Dhingano Bozdar, PPHI Hospital",Rooftop,Sindh,Tando Allah Yaar,Safe,25.47,68.71,2021,Ground Water
HYD-5,Tayyab Masjid Unit Latifabad,Tap,Sindh,Hyderabad,Safe,25.37,68.35,2021,Ground Water
HYD-6,"New Wahdat Colony, Qasimabad",Tap,Sindh,Hyderabad,Safe,25.4,68.33,2021,Ground Water
HYD-10,Pritabad Govt. Hospital,Tap,Sindh,Hyderabad,Safe,25.38,68.36,2021,Ground Water
KAR-01,"Darweshabad Hotel, Yousaf Goth",Tap,Sindh,Karachi,Safe,24.86,67.01,2021,Ground Water
KAR-06,Hamidia Rizvi Univ. Near PCSIR Lab,Tap,Sindh,Karachi,Safe,24.9,67.08,2021,Ground Water
KAR-02,"Mamoor Masjid, Z-6, Gulshan-e-Maymar",Tap,Sindh,Karachi,Unsafe,24.92,67.12,2021,Ground Water
FAI-03,Treatment Plant Millat Town,Tubewell,Punjab,Faisalabad,Safe,31.42,73.08,2021,Ground Water
FAI-05,Baghdadi Chowk Sidupura Near Masjid Noor,W.Supply,Punjab,Faisalabad,Safe,31.45,73.1,2021,Ground Water
FAI-08,"Agriculture University, Faisalabad",Inj. Pump,Punjab,Faisalabad,Safe,31.43,73.07,2021,Ground Water
FAI-02,Kalama Wali Tanki Sheikhupura Road,W.Supply,Punjab,Faisalabad,Unsafe,31.44,73.09,2021,Ground Water
FAI-13,M.C Girl School,Inj. Pump,Punjab,Faisalabad,Safe,31.41,73.06,2021,Ground Water
GUJ-01,Sheikhupura chowk GLT road,Tubewell,Punjab,Gujranwala,Safe,32.16,74.18,2021,Ground Water
GUJ-05,Saghir Park Badni Chowk,Filter Plant,Punjab,Gujranwala,Safe,32.17,74.19,2021,Ground Water
GUJ-08,"Water Filtration Plant, Satellite Town Chowk",Filter Plant,Punjab,Gujranwala,Safe,32.18,74.2,2021,Ground Water
GUJ-02,Super Asia M/D Sons Factory,Tubewell,Punjab,Gujranwala,Unsafe,32.15,74.17,2021,Ground Water
SAR-13,"IBEX Mart, Khushab Road, Sargodha",Hand Pump,Punjab,Sargodha,Safe,32.08,72.67,2021,Ground Water
SAR-18,Mosque Chak No.87 Nikki,Hand Pump,Punjab,Sargodha,Safe,32.1,72.7,2021,Ground Water
SAR-14,Govt. Central Model School (High) New S. Town,Bore,Punjab,Sargodha,Unsafe,32.09,72.68,2021,Ground Water
MUL-14,"132 KV Grid Station, Vehari Road",Tubewell,Punjab,Multan,Safe,30.2,71.45,2021,Ground Water
MUL-01,Chah Keomay Wala Opp. Zakaria University,Hand Pump,Punjab,Multan,Unsafe,30.21,71.46,2021,Ground Water
LH-01-GW,Model Town Block A,Tube Well,Punjab,Lahore,Safe,31.47,74.32,2021,Ground Water
LH-03-GW,Johar Town Phase 2,Hand Pump,Punjab,Lahore,Unsafe,31.46,74.27,2021,Ground Water
IS-01-GW,F-10 Markaz,Tube Well,ICT,Islamabad,Safe,33.69,73.01,2021,Ground Water
RW-01-GW,Saddar Area,Tube Well,Punjab,Rawalpindi,Safe,33.59,73.04,2021,Ground Water
RW-02-GW,Satellite Town,Hand Pump,Punjab,Rawalpindi,Unsafe,33.63,73.07,2021,Ground Water
PS-01-GW,University Road,Tube Well,KP,Peshawar,Safe,34.01,71.52,2021,Ground Water
QT-01-GW,Jinnah Town,Hand Pump,Balochistan,Quetta,Unsafe,30.18,66.99,2021,Ground Water
BH-01,Sutile Hotel (New bore installed),Inj. Pump,Punjab,Bahawalpur,Unsafe,29.39,71.68,2021,Ground Water
BH-05,Govt. High School Sahlan Basti,Hand Pump,Punjab,Bahawalpur,Unsafe,29.4,71.69,2021,Ground Water
SK-01-GW,Cantt Area,Tube Well,Punjab,Sialkot,Safe,32.49,74.53,2021,Ground Water
AB-01-GW,Abbottabad City,Hand Pump,KP,Abbottabad,Safe,34.15,73.21,2021,Ground Water
GJ-01-GW,Model Town,Hand Pump,Punjab,Gujrat,Safe,32.57,74.08,2021,Ground Water
