city,total,safe,safePct,unsafe,unsafePct,contamination
Abbottabad,2,0,0,2,100,"Turbidity, Iron, Total Coliforms, Copper"
Badin,11,5,45,6,55,Iron
Bahawalpur,25,6,24,19,76,"Arsenic, Turbidity, Total Coliforms, Total Dissolved Solids, Fluoride, Iron, E-Coli, Total Hardness as CaCO3"
Faisalabad,23,9,39,14,61,"pH, Nitrate-N, Total Hardness as CaCO3, Chloride, Total Dissolved Solids, Iron, Total Coliforms, E-Coli, Fluoride"
Gilgit,10,0,0,10,100,"Turbidity, Total Coliforms, E-Coli"
Gujranwala,14,7,50,7,50,"Total Coliforms, E-Coli"
Gujrat,9,9,100,0,0,-
Hyderabad,15,3,20,12,80,"Turbidity, Total Coliforms, E-Coli, Total Hardness as CaCO3, Chloride, Total Dissolved Solids"
Islamabad,26,16,62,10,38,"Iron, Total Coliforms, E-Coli, pH"
Karachi,28,2,7,26,93,"Chloride, Total Dissolved Solids, Total Coliforms, Turbidity, E-Coli, Total Hardness as CaCO3, Fluoride"
Kasur,10,9,90,1,10,"Turbidity, Total Coliforms, E-Coli"
Khuzdar,11,5,45,6,55,"Total Coliforms, E-Coli, Nitrate-N, Turbidity"
Lahore,16,11,69,5,31,"Total Dissolved Solids, Total Coliforms, E-Coli, Turbidity, Iron, Arsenic"
Loralai,18,6,33,12,67,"Turbidity, Iron, Total Coliforms, E-Coli"
Mangora,10,8,80,2,20,Iron
Mardan,12,1,8,11,92,"Iron, pH"
Mirpur Khas,12,0,0,12,100,"Total Hardness as CaCO3, Chloride, Total Dissolved Solids, Total Coliforms, Turbidity, E-Coli, Iron"
Multan,16,1,6,15,94,"Arsenic, Total Coliforms"
Muzaffarabad,10,3,30,7,70,"Total Coliforms, E-Coli, Turbidity"
Peshawar,13,6,46,7,54,"Iron, pH"
Quetta,37,15,41,22,59,"Total Coliforms, Fluoride, E-Coli, Total Hardness as CaCO3, Chloride, Total Dissolved Solids"
Rawalpindi,13,8,62,5,38,"Total Coliforms, E-Coli, Nitrate-N, Iron, Total Hardness as CaCO3, Total Dissolved Solids"
Sargodha,24,4,17,20,83,"Total Hardness as CaCO3, Nitrate-N, Total Dissolved Solids, Chloride, Total Coliforms, Iron, Fluoride"
Shaheed Benazir,12,0,0,12,100,"Chloride, Total Dissolved Solids, Total Coliforms, Iron, Total Hardness as CaCO3, E-Coli"
Sheikhupura,11,4,36,7,64,"Total Coliforms, E-Coli, pH, Turbidity, Iron, Nitrate-N, Arsenic, Total Hardness as CaCO3, Total Dissolved Solids"
Sialkot,10,9,90,1,10,"Iron, pH"
Sukkur,9,3,33,6,67,"Turbidity, Iron, Arsenic, Total Hardness as CaCO3, Chloride, Total Dissolved Solids, Fluoride, Total Coliforms"
Tando Allah Yaar,14,6,43,8,57,"Total Coliforms, Total Dissolved Solids, Iron, Total Hardness as CaCO3"
Ziarat,9,3,33,6,67,"Total Coliforms, E-Coli"
